task_id,selection_status,demonstration_pairs,test_pairs,candidates_considered,exact_training_candidates,collision_candidates,selection_seconds,lodo_pair_exact,lodo_cell_accuracy,novel_test_colors,novel_test_color_count,identity_pair_exact_rate,identity_task_exact,posthoc_oracle_local_exists,posthoc_oracle_neighborhood,posthoc_oracle_model_bits,outcome,selected_neighborhood,offset_count,exception_count,model_description_bits,wrapper_description_bits,total_description_bits,mean_test_support,min_test_support,labeled_pairs,pair_exact_count,pair_exact_rate,task_exact,pair_exact_count_pass_at_2,pair_exact_rate_pass_at_2,task_exact_pass_at_2,second_neighborhood,matching_shape_pairs,cell_accuracy,scored_cells,compiled_checked,compiled_equivalent,binary4_invalid_rate,onehot_invalid_rate,dataset,dataset_commit,split,task_index
0ca9ddb6,selected,3,1,29,3,26,0.021622626925818622,0.3333333333333333,0.9835390946502057,,0,0.0,0.0,1.0,moore_r1,716.0,predicted_incorrect,moore_r1,9,12,555.0,8.0,563.0,0.8024691358024691,0.8024691358024691,1,0,0.0,0.0,0,0.0,0.0,von_neumann_r2,1,0.9506172839506173,81,1.0,1.0,0.0,0.0,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,15
0d3d703e,selected,4,1,29,29,0,0.03420650097541511,0.25,0.5833333333333334,,0,0.0,0.0,1.0,center,84.0,solved,center,1,8,84.0,8.0,92.0,1.0,1.0,1,1,1.0,1.0,1,1.0,1.0,center_wire_+2_+2,1,1.0,9,1.0,1.0,0.0,0.0,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,16
0dfd9992,selected,3,1,29,1,28,0.07715463591739535,0.0,0.8647014361300076,8;9,2,0.0,0.0,1.0,moore_r2,24410.0,predicted_incorrect,moore_r2,25,179,18794.0,8.0,18802.0,0.0,0.0,1,0,0.0,0.0,0,0.0,0.0,,1,0.8775510204081632,441,1.0,1.0,0.0,0.0,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,17
0e206a2e,no_deterministic_local_rule,3,1,29,0,29,0.03190601710230112,,,5,1,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,18
10fcaaa3,unsupported_shape_change,4,1,29,0,0,1.0933028534054756e-05,,,3,1,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,19
11852cab,selected,3,1,29,3,26,0.025576465064659715,0.0,0.97,,0,0.0,0.0,1.0,moore_r1,555.0,predicted_incorrect,moore_r1,9,9,435.0,8.0,443.0,0.54,0.54,1,0,0.0,0.0,0,0.0,0.0,,1,0.97,100,1.0,1.0,0.0,0.0,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,20
1190e5a7,unsupported_shape_change,3,1,29,0,0,8.721952326595783e-06,,,5,1,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,21
137eaa0f,unsupported_shape_change,3,1,29,0,0,9.08970832824707e-07,,,8,1,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,22
150deff5,selected,3,1,29,1,28,0.017082641017623246,0.0,0.7768924302788844,,0,0.0,0.0,1.0,moore_r2,8495.0,predicted_incorrect,moore_r2,25,56,5998.0,8.0,6006.0,0.18181818181818182,0.18181818181818182,1,0,0.0,0.0,0,0.0,0.0,,1,0.7272727272727273,88,1.0,1.0,0.0,0.0,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,23
178fcbfb,no_deterministic_local_rule,3,1,29,0,29,0.014196406933479011,,,,0,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,24
1a07d186,no_deterministic_local_rule,3,1,29,0,29,0.036253395956009626,,,,0,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,25
1b2d62fb,unsupported_shape_change,5,1,29,0,0,9.245006367564201e-06,,,,0,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,26
1b60fb0c,no_deterministic_local_rule,3,1,29,0,29,0.015347311971709132,,,,0,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,27
1bfc4729,no_deterministic_local_rule,2,1,29,0,29,0.01032848795875907,,,2;8,2,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,28
1c786137,unsupported_shape_change,3,1,29,0,0,1.4579854905605316e-06,,,,0,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,29
1caeab9d,no_deterministic_local_rule,3,1,29,0,29,0.011213450925424695,,,,0,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,30
1cf80156,unsupported_shape_change,3,1,29,0,0,7.141963578760624e-06,,,6,1,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,31
1e0a9b12,selected,3,1,29,2,27,0.009031991008669138,0.0,0.7402597402597403,5,1,0.0,0.0,1.0,von_neumann_r2,1780.0,predicted_incorrect,von_neumann_r2,13,20,1220.0,8.0,1228.0,0.0,0.0,1,0,0.0,0.0,0,0.0,0.0,,1,0.6,25,1.0,1.0,0.0,0.0,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,32
1e32b0e9,no_deterministic_local_rule,3,1,29,0,29,0.03918555600102991,,,4;9,2,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,33
1f0c79e5,no_deterministic_local_rule,4,1,29,0,29,0.017280456027947366,,,8,1,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,34
1f642eb9,no_deterministic_local_rule,3,1,29,0,29,0.015409191022627056,,,,0,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,35
1f85a75f,unsupported_shape_change,2,1,29,0,0,1.386040821671486e-06,,,8,1,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,36
1f876c06,no_deterministic_local_rule,3,1,29,0,29,0.015597725985571742,,,,0,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,37
1fad071e,unsupported_shape_change,3,1,29,0,0,1.6939593479037285e-06,,,,0,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,38
2013d3e2,unsupported_shape_change,2,1,29,0,0,5.39200846105814e-06,,,,0,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,39
2204b7a8,no_deterministic_local_rule,3,1,29,0,29,0.015448074089363217,,,5,1,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,40
22168020,selected,3,1,29,1,28,0.019699029973708093,0.0,0.86,7,1,0.0,0.0,1.0,moore_r2,5790.0,predicted_incorrect,moore_r2,25,42,4542.0,8.0,4550.0,0.06,0.06,1,0,0.0,0.0,0,0.0,0.0,,1,0.88,100,1.0,1.0,0.0,0.0,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,41
22233c11,no_deterministic_local_rule,3,1,29,0,29,0.01530118496157229,,,,0,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,42
2281f1f4,no_deterministic_local_rule,3,1,29,0,29,0.015572891919873655,,,,0,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,43
228f6490,selected,3,1,29,1,28,0.019841449917294085,0.0,0.8133333333333334,,0,0.0,0.0,1.0,moore_r2,7455.0,predicted_incorrect,moore_r2,25,56,5998.0,8.0,6006.0,0.0,0.0,1,0,0.0,0.0,0,0.0,0.0,,1,0.86,100,1.0,1.0,0.0,0.0,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,44
22eb0ac0,no_deterministic_local_rule,3,1,29,0,29,0.015513640944845974,,,,0,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,45
234bbc79,unsupported_shape_change,4,1,29,0,0,8.248025551438332e-06,,,,0,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,46
23581191,no_deterministic_local_rule,2,1,29,0,29,0.008655727026052773,,,,0,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,47
239be575,unsupported_shape_change,6,2,29,0,0,4.910980351269245e-06,,,,0,0.0,0.0,0.0,,,abstained,,0,0,,,,,,2,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,48
23b5c85d,unsupported_shape_change,5,1,29,0,0,4.859990440309048e-06,,,,0,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,49
253bf280,no_deterministic_local_rule,8,1,29,0,29,0.032125888974405825,,,,0,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,50
25d487eb,no_deterministic_local_rule,3,1,29,0,29,0.022761167027056217,,,4,1,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,51
25d8a9c8,selected,4,1,29,6,23,0.012431744020432234,0.0,0.3611111111111111,8,1,0.0,0.0,1.0,center_wire_+0_-1,306.0,predicted_incorrect,center_wire_+0_-1,2,21,282.0,8.0,290.0,0.6666666666666666,0.6666666666666666,1,0,0.0,0.0,0,0.0,0.0,center_wire_+1_+0,1,0.6666666666666666,9,1.0,1.0,0.0,0.0,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,52
25ff71a9,selected,4,2,29,5,24,0.011121334042400122,0.75,0.8888888888888888,,0,0.0,0.0,1.0,center_wire_-1_+0,86.0,solved,center_wire_-1_+0,2,5,86.0,8.0,94.0,1.0,1.0,2,2,1.0,1.0,2,1.0,1.0,von_neumann_r1,2,1.0,18,1.0,1.0,0.0,0.0,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,53
264363fd,no_deterministic_local_rule,3,1,29,0,29,0.12148677802179009,,,,0,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,54
272f95fa,no_deterministic_local_rule,2,1,29,0,29,0.02349619602318853,,,,0,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,55
27a28665,unsupported_shape_change,7,3,29,0,0,1.1443975381553173e-05,,,7,1,0.0,0.0,0.0,,,abstained,,0,0,,,,,,3,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,56
28bf18c6,unsupported_shape_change,3,1,29,0,0,1.0649673640727997e-06,,,3,1,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,57
28e73c20,no_deterministic_local_rule,5,1,29,0,29,0.02951941709034145,,,,0,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,58
29623171,selected,3,1,29,1,28,0.02331027400214225,0.0,0.8677685950413223,4,1,0.0,0.0,1.0,moore_r2,7455.0,predicted_incorrect,moore_r2,25,48,5166.0,8.0,5174.0,0.0,0.0,1,0,0.0,0.0,0,0.0,0.0,,1,0.8181818181818182,121,1.0,1.0,0.0,0.0,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,59
29c11459,no_deterministic_local_rule,2,1,29,0,29,0.006473093060776591,,,4;6;8;9,4,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,60
29ec7d0e,selected,4,1,29,2,27,0.09656108007766306,0.0,0.8757716049382716,9,1,0.0,0.0,1.0,von_neumann_r2,11641.0,predicted_incorrect,von_neumann_r2,13,156,8841.0,8.0,8849.0,0.05864197530864197,0.05864197530864197,1,0,0.0,0.0,0,0.0,0.0,moore_r2,1,0.845679012345679,324,1.0,1.0,0.0,0.0,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,61
2bcee788,selected,4,1,29,1,28,0.02814544492866844,0.0,0.575,1,1,0.0,0.0,1.0,moore_r2,24722.0,predicted_incorrect,moore_r2,25,195,20458.0,8.0,20466.0,0.54,0.54,1,0,0.0,0.0,0,0.0,0.0,,1,0.58,100,1.0,1.0,0.0,0.0,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,62
2bee17df,no_deterministic_local_rule,3,1,29,0,29,0.019222490955144167,,,,0,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,63
2c608aff,no_deterministic_local_rule,4,1,29,0,29,0.031068098032847047,,,,0,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,64
2dc579da,unsupported_shape_change,3,1,29,0,0,8.066999725997448e-06,,,0,1,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,65
2dd70a9a,no_deterministic_local_rule,3,1,29,0,29,0.033543690922670066,,,,0,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,66
2dee498d,unsupported_shape_change,3,1,29,0,0,8.723000064492226e-06,,,,0,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,67
31aa019c,selected,3,1,29,2,27,0.023325618938542902,0.0,0.7366666666666667,,0,0.0,0.0,1.0,von_neumann_r2,6598.0,predicted_incorrect,von_neumann_r2,13,79,4526.0,8.0,4534.0,0.0,0.0,1,0,0.0,0.0,0,0.0,0.0,,1,0.63,100,1.0,1.0,0.0,0.0,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,68
321b1fc6,selected,2,1,29,2,27,0.014164204942062497,0.0,0.84,3,1,0.0,0.0,1.0,von_neumann_r2,3125.0,predicted_incorrect,von_neumann_r2,13,31,1837.0,8.0,1845.0,0.21,0.21,1,0,0.0,0.0,0,0.0,0.0,,1,0.72,100,1.0,1.0,0.0,0.0,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,69
32597951,selected,3,1,29,4,25,0.07281380507629365,0.0,0.9734717416378316,,0,0.0,0.0,1.0,von_neumann_r1,529.0,predicted_incorrect,von_neumann_r1,5,18,481.0,8.0,489.0,0.8961937716262975,0.8961937716262975,1,0,0.0,0.0,0,0.0,0.0,moore_r1,1,0.9896193771626297,289,1.0,1.0,0.0,0.0,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,70
3345333e,selected,2,1,29,2,27,0.03244603599887341,0.0,0.9453125,5;8,2,0.0,0.0,1.0,von_neumann_r2,2789.0,predicted_incorrect,von_neumann_r2,13,28,1668.0,8.0,1676.0,0.52734375,0.52734375,1,0,0.0,0.0,0,0.0,0.0,,1,0.921875,256,1.0,1.0,0.0,0.0,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,71
3428a4f5,unsupported_shape_change,4,2,29,0,0,1.93202868103981e-06,,,,0,0.0,0.0,0.0,,,abstained,,0,0,,,,,,2,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,72
3618c87e,selected,3,1,29,6,23,0.01258082699496299,1.0,1.0,,0,0.0,0.0,1.0,center_wire_-1_+0,49.0,solved,center_wire_-1_+0,2,2,49.0,8.0,57.0,1.0,1.0,1,1,1.0,1.0,1,1.0,1.0,von_neumann_r2,1,1.0,25,1.0,1.0,0.0,0.0,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,73
3631a71a,no_deterministic_local_rule,4,1,29,0,29,0.16662189806811512,,,,0,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,74
363442ee,no_deterministic_local_rule,3,1,29,0,29,0.01790032908320427,,,,0,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,75
36d67576,selected,3,1,29,1,28,0.030764647061005235,0.0,0.9526627218934911,,0,0.0,0.0,1.0,moore_r2,3814.0,predicted_incorrect,moore_r2,25,23,2565.0,8.0,2573.0,0.1380952380952381,0.1380952380952381,1,0,0.0,0.0,0,0.0,0.0,,1,0.9428571428571428,210,1.0,1.0,0.0,0.0,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,76
36fdfd69,selected,3,1,29,3,26,0.05909000593237579,0.0,0.9470899470899471,9,1,0.0,0.0,1.0,moore_r1,2197.0,predicted_incorrect,moore_r1,9,39,1637.0,8.0,1645.0,0.0032679738562091504,0.0032679738562091504,1,0,0.0,0.0,0,0.0,0.0,,1,0.954248366013072,306,1.0,1.0,0.0,0.0,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,77
3906de3d,selected,3,1,29,1,28,0.019657336990348995,0.0,0.8733333333333333,,0,0.0,0.0,1.0,moore_r2,6622.0,predicted_incorrect,moore_r2,25,38,4126.0,8.0,4134.0,0.02,0.02,1,0,0.0,0.0,0,0.0,0.0,,1,0.76,100,1.0,1.0,0.0,0.0,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,78
39a8645d,unsupported_shape_change,3,1,29,0,0,1.491047441959381e-06,,,3,1,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,79
39e1d7f9,no_deterministic_local_rule,3,1,29,0,29,0.09197461395524442,,,,0,0.0,0.0,0.0,,,abstained,,0,0,,,,,,1,0,0.0,0.0,0,0.0,0.0,,0,,0,0.0,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,80
