Claim_ID,Evidence_ID,Evidence_Type,Required_Evidence,Planned_Artifact,Status,Source_or_Protocol,Decision_Gate
C1,EXP-C1-SOURCE,ablation,"Source-drop and controller-drop ablations","results/c1_source_controller_ablation.csv",planned,"Remove one generator or replace adaptive allocation with static round robin","Gain must require the proposed coupling rather than candidate count alone"
C2,LIT-C2-ARCH,verified_citation,"Masked diffusion with recursive self-refinement and reported weakness of one-shot inference","notes/literature/literature-map.md",verified,"https://lambdalabsml.github.io/ARC2025_Solution_by_the_ARChitects/","Supports grid refinement premise only"
C2,EXP-C2-GRID,experiment,"Deployable residual-directed re-masking versus full-mask cold restart at matched denoising calls","results/c2_grid_repair.csv",planned,"Policy sees R_demo and R_query_internal only; oracle query error may stratify results after inference and provides an oracle-mask ceiling","Repair must improve exact recovery per model call and not just pixel similarity"
C2,EXP-C2-PROG,experiment,"Typed program mutation or trace inpainting versus resynthesis from scratch","results/c2_program_trace_repair.csv",planned,"Use identical seed candidates and execution budgets","C2 requires complementary gains in at least one non-grid repair space"
C2,EXP-C2-DUP,diagnostic,"Candidate novelty and duplicate-rate accounting after repair","results/c2_repair_diversity.csv",planned,"Canonicalize grids and executable programs before counting","Reject gains caused only by repeated equivalent samples"
C3,LIT-C3-EG,verified_citation,"Execution-conditioned synthesis improves controlled compositional OOD performance","notes/literature/literature-map.md",verified,"https://arxiv.org/html/2507.15877v2","Supports state-conditioned control; real ARC coverage remains limited"
C3,EXP-C3-MASK,experiment,"Dynamic mask versus fixed mask versus no mask under equal scoring and expansion budgets","results/c3_transition_mask.csv",planned,"Measure true-path recall; oracle-output recall; expanded nodes; timeout; pass@2","Hard-mask false-negative rate must meet a predeclared recall floor"
C3,EXP-C3-ESCAPE,ablation,"Low-probability escape edges and unknown/inconsistent predicate handling","results/c3_escape_four_valued_ablation.csv",planned,"Compare binary predicates with four-valued predicates and an escape budget","Cost reduction cannot depend on irrecoverable pruning"
C4,LIT-C4-ROUTE,verified_citation,"Evidence that routing quality can bottleneck compositional OOD generalization","notes/literature/literature-map.md",verified,"https://openreview.net/forum?id=3UrIn433-Ez","Supports studying routing; does not establish ARC gains"
C4,EXP-C4-RANK,experiment,"Frozen-candidate ranker comparison using identical features and train splits","results/c4_ranker_frozen_pool.csv",planned,"Hand MDL; source confidence; logistic; XGBoost; MLP; DLGN; task-grouped cross-validation","C4 requires improved recall@k and final pass@2 without task-ID leakage"
C4,EXP-C4-ANTI,experiment,"Anti-overfit tests based on color permutation; geometric augmentation; coordinate dependence; program complexity","results/c4_anti_overfit.csv",planned,"Fit demonstrations; evaluate on generator-known held-out queries and real sealed split","Report calibration and false rejection of correct candidates"
C5,LIT-C5-DLGN,verified_citation,"DLGN offers very fast discrete inference","notes/literature/literature-map.md",verified,"https://arxiv.org/abs/2210.08277","Supports efficiency hypothesis only"
C5,LIT-C5-LIGHT,verified_citation,"Known DLGN scaling issues include vanishing gradients; discretization error; and training cost","notes/literature/literature-map.md",verified,"https://arxiv.org/abs/2510.03250","Requires soft-versus-hard policy audit"
C5,USR-C5-SYNTH,user_report,"Reported synthetic comparison of DLGN; MLP; tree; heuristic; and memory baselines","results/recovered_prior_experiment/",unverified_user_report,"Initiating attachment 1; linked sandbox artifacts unavailable","Cannot support any claim until code; configs; raw per-seed results; and task generator are recovered"
C5,EXP-C5-PARETO,experiment,"Same-feature same-candidate policy comparison including measured inference cost","results/c5_controller_pareto.csv",planned,"Measure recall; pass@2; latency; model size; logical operations; CPU energy proxy where available","C5 survives only if DLGN is non-dominated on at least one practically relevant frontier"
