experiment_id,type,claim_id,dataset,metric,baselines_involved,our_method_variant,expected_outcome,result_status,notes
E06,soft_to_hard_hardening,C6,enumerated 8-bit truth tables,OOD accuracy;balanced accuracy;Brier;hardening drop,soft gate proxy,SoftGateCircuit and argmax compiled Boolean DAG,Controlled hardening preserves accuracy on compressible local rule,verified,Fixed wiring; ten seeds per 50% and 75% training coverage
E07,learned_gate_bfs,C6,layered directed graphs,widths 8/16/32 and depths 4/8/12,graph balanced accuracy;positive/negative accuracy;BFS-only query latency,LearnedSoftGate+BFS;LearnedHardenedGate+BFS,Learned gate interfaces with symbolic BFS,verified,Independent graph generation; clean synthetic predicates; gate inference and input layout are precomputed outside timing; oracle reachability remains an upper-bound control
E08,state_transition_loop,C7,cyclic directed graphs,widths 8/16/32 and path lengths 2/4/6/8/12,balanced accuracy;iterations;query time,FixedK=4StateUnroll;LoopedStateTransition,Loop restores variable-length reachability at iterative state cost,verified,Frontier register and fixed-point termination; no hardware PPA claim
E09,noncompressible_scaling,C8,random LUT and parity truth tables,8/10/12 input bits,holdout accuracy;full accuracy;fit time;gate count,GateBeam;MLP,Scaling exposes absence of compact gate representation,verified,Finite 2^n tables; five seeds in full mode
E10,probability_marginalization,C8,independent Bernoulli parity and shared-wire controls,4/8/12/16 uncertain bits,exact probability;absolute error;enumeration time,ExactEnumeration;ClosedFormSoftSemiring;HardThreshold,Hardening loses probability semantics and exact WMC scales with assignments,verified,Parity closed form and shared-wire counterexample are controlled cases
E11,planning_frontier,C9,monotone Boolean action state spaces,8/10/12 state bits and goal depths 2/4/6/8,balanced accuracy;frontier expansions;pair query time,FixedK=4Planning;LoopedPlanningFrontier,Looped frontier restores variable-depth planning/proof-frontier control,verified,Bounded proxy with blocked goal; not a complete planner or SAT/SMT benchmark
E12,end_to_end_visual_gridworld,C10,rendered RGB gridworld images,8x8 clean/correlated occlusion and 10x10 size OOD,task accuracy;Brier;cell grounding;source/target localization;fallback;latency,OracleBFS;HardNeuroSymbolic;SoftNeuroSymbolic;HybridFallback,Pixel encoder plus calibrated predicates learned edge gate and symbolic solver closes the inference loop,verified,Three seeds; component-supervised grounding; fixed four-neighbor candidate topology
E18,official_difflogic_ca_replay,C16,official frozen GoL and checkerboard DigitalJS circuits,truth-table and rollout match;active and pruned gates;artifact hash,OfficialDiffLogicCAFrozen;OracleCARule,Commit-pinned hard-circuit replay,Recover documented hard semantics without claiming retraining,verified,License provenance and notebook versus paper layer-count discrepancy recorded; training attempt separately blocked before optimization
E19,elementary_ca_and_gol,C17;C19,all 256 ECA rules plus GoL local transitions and canonical patterns,local exactness;trajectory exactness;first divergence;model bits per update;gate evaluations,RawCALUT;OracleCARule;GateBeam;TinyMLP,Shared Boolean CA program,Exact local circuits should roll out exactly while approximate local predictors compound errors,verified,ECA variable order is right center left; GoL count frontend cost is not hidden
E20,collective_ca_tasks,C18,density classification and global synchronization over multiple widths and initial densities,task accuracy;convergence;unresolved rate;rule and dynamic cost,PublishedDensitySyncCA;RawCALUT,Published and searched radius-3 Boolean CA rules,Compact local rules need not achieve perfect collective computation,verified,Decision at M=2N plus one charged alternation-validation update and finite sample counts are separated from source-reported K=10000 and M approximately 2N
E21,boolean_ca_pathfinding,C17;C18,random and adversarial grid mazes across sizes and path lengths,path existence accuracy;state agreement;iterations;runtime;gate evaluations,OracleBFS;FixedDepthWavefront,Boolean wavefront CA,Full recurrence matches BFS while fixed unrolling fails beyond its horizon,verified,Obstacle and source channels are given; no learned visual grounding
E22,checkerboard_repair,C16;C18,official checkerboard circuit and controlled damage at 16x16/20 steps and 64x64/80 steps,terminal accuracy;recovery time;damage robustness;active gates,OfficialDiffLogicCAFrozen;OracleCARule,Hard recurrent checkerboard circuit,Test hidden-rule recurrent behavior and documented scaling boundaries,verified,Fourfold side length and horizon means sixteenfold area; channel 0 is the notebook-supervised task output and hidden channels are diagnostic
