component_id,name,role,input_format,output_format,is_novel,replaceable_by,ablation_priority,notes,status
M05b,Axis scale and tile operations,"Realize direct positive integer output/input ratios as pixel repetition or whole-grid repetition","Grid plus bounded positive row/column factors","Scaled or tiled grid; explicit size invalid",no,"Explicit canvas constructor; library resize/tile",high,"DSL v0.2 subset paired with M03a; verified under results/e01a_shape_v1",verified_control
M05c,Ordered transparent panel overlay,"Collapse one equal-shape two-axis panel lattice with declared background transparency and row-major priority","Grid plus one executable M02b panel hypothesis and background","One panel-sized grid or explicit selection/shape invalid",no,"Generic alpha compositing; task-specific four-panel macro",high,"DSL v0.3 subset; only a68b268e receives a public proposal; ragged periodic broadcast is excluded",verified_control
M05d,Indexed panel-sequence D4 action,"Apply a D4 group step by relative index from one inferred seed panel and reassemble the original single-axis sequence","Equal-shape single-axis M02b panel sequence; background; D4 step","Original-size reassembled grid or explicit selection/shape invalid",no,"Fixed three-panel rotation macro; arbitrary panel program",high,"afts-panel-sequence-d4/v0.1; verified on atomic and composition controls; only 8e5a5113 receives public M05d proposals and is added at rank 1; 92e50de0 is outside the equal-shape single-axis contract",verified_control
M05e,Periodic panel-lattice broadcast,"Copy one inferred full-size seed to a two-axis congruence class and top-left clip only at bottom/right suffix panels","Two-axis M02b panel lattice; background; positive row and column periods","Original-size reassembled grid or explicit selection/shape invalid",no,"Hard-coded parity fill; explicit destination list; unrestricted stamp renderer",high,"afts-panel-lattice-periodic/v0.1; verified on atomic/composition controls; only 92e50de0 receives a public bound/proposals and is added at rank 1; leading/interior ragged panels and multiple seeds remain invalid",verified_control
M05f,BBox contact renderer,"Paint the first solid-rectangle boundary cell reached by each admitted M02c marker ray while preserving markers and paths","M02c complete relation hypothesis plus background","Original-size grid or explicit selection/collision/occlusion/geometry invalid",no,"Move-until-touching; line drawing; arbitrary destination list; target-specific macro",high,"afts-bbox-contact-render/v0.1 verifies paint_bbox_contacts(background) on six new controls and adds only 1f642eb9 at rank 1; no anchor color; bbox; marker list or destination parameter is exposed",verified_control
M06,Program search,"Explore typed programs using intermediate execution","Task; DSL; parse beam; search policy","Programs; states and execution traces",no,"Unguided beam; evolutionary search; LLM code",high,"Current fully replayed v0.6 public run keeps 48,177 expansions and 218,637 program executions under the 64-option cap; M02c/M05f separately records 100 structural checks; 216 relation checks; one trial and three demo pre-executions; heterogeneous-source coverage remains deferred to E01b",verified_control
M07,Code hypothesis generator,"Propose DSL-external programs and candidate macros","Task representation; tool schema and prompt","Sandboxed code; output grids; traces",no,"No LLM; alternate code model; direct grid model",medium,"Track model exposure; tokens; API cost and sandbox provenance",planned
M08,Candidate IR and store,"Unify outputs; programs; traces; provenance and cost","All source records","Canonical immutable candidates and duplicate groups",no,"Source-specific stores",high,"Task identifiers are provenance-only and excluded by a feature whitelist",verified_smoke
M09,Residual compiler,"Convert deployable verifier counterexamples into typed repair evidence","Demonstration execution; query-internal consistency; candidate trace","Separate grid-cell; AST-node and action evidence masks",yes,"Independent source-specific residuals; confidence mask",high,"Candidate novelty is the cross-representation compilation; oracle query residual is prohibited as input",planned
M10,Verifier ladder,"Apply necessary checks and emit soft preference evidence","Candidate plus demonstrations and deployable invariants","SAT/UNSAT/UNKNOWN/PARSE_CONFLICT; counterexamples; scores",no,"Exact-train only; model confidence only",high,"Hard rejection only for necessary conditions until false-negative recall is known",planned
M11,Grid repair,"Re-mask selected output regions","Grid candidate; deployable residual mask and uncertainty","Repaired grid candidates",no,"Cold restart; random mask; Mask-Predict; ReMDM",high,"Novelty depends on residual compiler and controller coupling; not remasking itself",planned
M12,Program or trace repair,"Edit bindings; primitives or typed AST spans","Program; trace; deployable counterexample; type mask","Repaired executable candidates",no,"Full resynthesis; beam continuation; random mutation; tree diffusion",high,"Tree diffusion with execution feedback is prior art",planned
M13,Dynamic legality mask,"Compile conservative action legality from contracts","Candidate; parse set; four-valued preconditions","Action-level legal; uncertain; conflict labels plus escape budget",no,"Fixed mask; no mask; invalid-action masking",medium,"Type-directed pruning and action masks are prior art; value is an ARC safety evaluation",planned
M14,Next-action controller,"Allocate online budget and choose the next specialist","Whitelisted blackboard features; action outcomes and remaining budget","Distribution over executable next actions",yes,"Static schedule; bandit; hand policy; XGBoost; MLP; DLGN",high,"Novelty is limited to the pre-registered ARC coupling with M09; controller classes are not new",planned
M15,Candidate ranker,"Rank an already frozen candidate pool","Candidate-level execution and anti-overfit features","Candidate scores or ordering",no,"MDL; source confidence; per-source rankers; XGBoost; MLP; DLGN",high,"Separate dataset and experiment from M14",planned
M16,Top-2 selector,"Choose two output grids after ranking and diversity checks","Verified ranked candidates for one test pair","At most two answer grids",no,"Top confidence; majority vote; holistic judge",medium,"Separate from legality; ranker and online policy",planned
